,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),Tiempo medio de viaje a Madrid en coche,Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),Tiempo medio de viaje a Barcelona en coche,Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,Número deconexiones delaeropuerto internacionalmás cercano,Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Número de visitantes internacionales al año,Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,Ponderación calidad del aire,Horas de Sol mediasanuales
82,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,208688.0,3.3,9.6,1950.0,2460,,2425.0,,,Tenerife Norte-La Laguna,24.0,12.0,28.0,15.0,,1716,No,367.0,3098
83,Santander,Cantabria,Cantabria,171693.0,19.2,9.3,455.0,259,353.0,703.0,410.0,585.0,Seve Ballesteros-Santander,23.0,5.6,23.0,6.0,,1998,No,431.0,1639
84,Santiago de Compostela,A Coruña,Galicia,98179.0,,8.2,600.0,337,202.0,1085.0,,,Santiago-Rosalía de Castro,33.0,14.2,25.0,5.0,926153.0,2268,Sí,430.0,2453
85,Sevilla,Sevilla,Andalucía,681998.0,27.6,10.6,530.0,302,162.0,994.0,598.0,666.0,Sevilla,70.0,8.8,36.0,6.0,3000000.0,2151,No,439.0,3526
86,Talavera de la Reina,Toledo,Castilla-La Mancha,83247.0,12.0,5.8,123.0,78,80.0,741.0,428.0,589.0,Adolfo Suárez Madrid-Barajas,174.0,139.0,35.0,2.0,,1286,Sí,409.0,2815
87,Tarragona,Tarragona,Cataluña,134883.0,,9.2,552.0,321,256.0,98.0,74.0,75.0,Reus,14.0,10.9,29.0,5.0,,1828,Sí,426.0,282
88,Telde,Las Palmas,Las Palmas,102472.0,,8.2,1945.0,2220,,2563.0,,,Gran Canaria,127.0,10.9,26.0,15.0,,1334,No,389.0,2808
89,Terrassa,Barcelona,Cataluña,224114.0,8.3,10.2,620.0,360,206.0,28.0,,,Josep TarradellasBarcelona-El Prat,170.0,34.8,29.0,1.0,,2091,No,472.0,2453
90,Toledo,Toledo,Castilla-La Mancha,85085.0,36.4,7.9,75.0,56,,686.0,397.0,225.0,Adolfo Suárez Madrid-Barajas,174.0,84.0,34.0,1.0,593970.0,1422,Sí,402.0,2815
91,Torrejón de Ardoz,Madrid,Madrid,134733.0,11.7,10.4,32.0,34,,594.0,337.0,188.0,Adolfo Suárez Madrid-Barajas,174.0,12.9,33.0,1.0,,2165,No,397.0,2691
92,Torrente,Valencia,Comunidad Valenciana,85142.0,11.7,8.1,352.0,228,137.0,365.0,221.0,204.0,València,89.0,11.6,31.0,6.0,,1618,No,426.0,2808
93,Torrevieja,Alicante,Comunidad Valenciana,83547.0,,8.8,460.0,265,293.0,571.0,341.0,630.0,Alacant-Elx Miguel Hernández,119.0,43.9,29.0,6.0,,1763,No,394.0,3397
94,Valdemoro,Madrid,Madrid,79100.0,1.3,9.3,30.0,29,,636.0,,202.0,Adolfo Suárez Madrid-Barajas,174.0,35.3,33.0,0.0,,1693,No,392.0,2691
95,València,Valencia,Comunidad Valenciana,792492.0,20.4,11.3,356.0,230,,348.0,214.0,,València,89.0,10.3,30.0,6.0,2060000.0,2122,Sí,398.0,2808
96,Valladolid,Valladolid,Castilla y León,295639.0,36.2,7.4,191.0,145,65.0,724.0,426.0,,Valladolid,6.0,14.3,30.0,1.0,,1578,No,433.0,3016
97,Vélez-Málaga,Málaga,Andalucía,83899.0,,7.7,534.0,305,285.0,965.0,588.0,,Málaga-Costa del Sol,137.0,49.8,31.0,7.0,,1507,No,,3248
98,Vigo,Pontevedra,Galicia,292374.0,16.4,9.5,591.0,340,306.0,1144.0,678.0,,Vigo,8.0,13.5,26.0,7.0,,1814,No,415.0,3031
99,Vitoria-Gasteiz,Álava,País Vasco,253672.0,49.6,10.9,364.0,222,191.0,527.0,328.0,375.0,Vitoria,3.0,12.0,26.0,1.0,,2515,No,450.0,2147
100,Zaragoza,Zaragoza,Aragón,673010.0,20.0,8.9,319.0,204,87.0,308.0,188.0,112.0,Zaragoza,16.0,13.1,33.0,3.0,,1714,Sí,438.0,2602
